userId,companyname,firstname,lastname,username,email,mobile,dob,password,profilePic,userType,serviceType,created,modified,status,email_verified,address,latitude,longitude,zip,resume,additional_image,short_bio,video,gender,experience,qualification,skills,oauth_provider,oauth_uid,view_count,foundedyear,teamsize,rateperhour,isAggreed,forgot_otp
1,,Demo,Employee,NULL,employee@gmail.com,7894562130,NULL,MTIzNDU2,9198_9331_istockphoto-1277873802-170667a.jpg,1,NULL,"2023-10-05 09:52:23","2024-01-04 07:11:35",1,1,"Kolkata, West Bengal, India",22.5727,88.3639,789654,1408_c4611_sample_explain.pdf,,"In publishing and graphic design, Lorem ipsum is a placeholder text commonly used to demonstrate the visual form of a document or a typeface without relying on meaningful content. Lorem ipsum may be used as a placeholder before final copy is available. In publishing and graphic design, Lorem ipsum is a placeholder text commonly used to demonstrate the visual form of a document or a typeface without relying on meaningful content. Lorem ipsum may be used as a placeholder before final copy.",,Male,,,"Website Development, Full Stack Development",facebook,,0,NULL,NULL,50,1,NULL
2,"Demo Employer",,,NULL,employer@gmail.com,5984562136,NULL,MTIzNDU2,2946_OIP.png,2,NULL,"2023-10-06 06:59:29","2024-03-20 11:08:48",1,1,"Texas, United States",31.804,-98.8223,NULL,,,"In publishing and graphic design, Lorem ipsum is a placeholder text commonly used to demonstrate the visual form of a document or a typeface without relying on meaningful content. Lorem ipsum may be used as a placeholder before final copy is available. In publishing and graphic design, Lorem ipsum is a placeholder text commonly used to demonstrate the visual form of a document or a typeface without relying on meaningful content. Lorem ipsum may be used as a placeholder before final copy.",,,,,,facebook,,28,2009,TAX123456,NULL,1,NULL
3,,"Demo Employee",One,NULL,employee1@gmail.com,5485965210,NULL,MTIzNDU2,3055_1357_istockphoto-1399565382-170667a.jpg,1,NULL,"2023-10-06 07:41:49","2024-01-04 07:11:35",1,1,"New York, New York, United States",40.7306,-73.9866,789450,,,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularized in the 1960s with the release of Letterset sheets containing Lorem Ipsum passages.",,Male,,,"Full Stack Development",facebook,,0,NULL,NULL,25,NULL,NULL
4,"New Employer",,,NULL,employer1@gmail.com,5984562136,NULL,MTIzNDU2,2946_OIP.png,2,NULL,"2023-10-06 06:59:29","2024-02-15 04:59:55",1,1,"Texas, United States",31.804,-98.8223,NULL,,,"In publishing and graphic design, Lorem ipsum is a placeholder text commonly used to demonstrate the visual form of a document or a typeface without relying on meaningful content. Lorem ipsum may be used as a placeholder before final copy is available. In publishing and graphic design, Lorem ipsum is a placeholder text commonly used to demonstrate the visual form of a document or a typeface without relying on meaningful content. Lorem ipsum may be used as a placeholder before final copy.",,,,,,facebook,,26,2009,TAX123456,NULL,NULL,NULL
5,,Demo,expert,NULL,expert@gmail.com,,NULL,MTIzNDU2,,3,NULL,"2023-12-26 09:29:32","2024-01-04 07:11:35",1,1,"Ohio State, Columbus, Ohio, United States",39.9994,-83.0126,,,,teststsetestetst,,Male,,,,facebook,,0,NULL,NULL,40,1,NULL
9,,Sayantan,Bhakta,NULL,sayantan1@goigi.in,,NULL,MTIzNDU2,220_9331_istockphoto-1277873802-170667a.jpg,1,NULL,"2023-12-30 02:03:07","2024-01-04 07:51:52",1,1,"Kolkata, West Bengal, India",22.5727,88.3639,,8156_c4611_sample_explain.pdf,,"Demo Account",,Male,,,,facebook,,0,NULL,NULL,40,1,NULL
10,IGI,,,NULL,care@goigi.com,NULL,NULL,MTIzNDU2,,2,NULL,"2023-12-30 08:35:02","2024-01-04 07:11:36",1,1,"Durgapur, West Bengal, India",23.535,87.338,NULL,,,,,,,,,facebook,,0,NULL,NULL,NULL,NULL,NULL
11,,Sayantan,Bhakta,NULL,employee2@gmail.com,NULL,NULL,MTIzNDU2,,1,NULL,"2024-01-04 01:40:22","2024-01-04 02:08:06",1,1,"Kolkata, West Bengal, India",22.5727,88.3639,NULL,,,,,,,,,facebook,,0,NULL,NULL,NULL,1,NULL
12,"demo company",,,NULL,employer2@gmail.com,NULL,NULL,MTIzNDU2Nw==,,2,NULL,"2024-01-04 01:43:46","2024-02-05 07:57:32",1,1,"Kolkata House, 110/N23, Hyderabad, Telangana 500049, India",17.4723,78.3646,NULL,,,,,,,,,facebook,,1,NULL,NULL,NULL,NULL,NULL
13,,S,B,NULL,sme@gmail.com,NULL,NULL,OTg3NjU0,,3,NULL,"2024-01-04 01:45:22","2024-01-04 02:09:24",1,1,"Ohio State, Columbus, Ohio, United States",39.9994,-83.0126,NULL,,,,,,,,,facebook,,0,NULL,NULL,NULL,1,NULL
